   52.7500 MB /   1.62 sec =  273.1896 Mbps
    5.1250 MB /   0.27 sec =  160.7728 Mbps
   17.8750 MB /   1.02 sec =  147.1323 Mbps
   17.8750 MB /   0.98 sec =  152.3941 Mbps
   19.0625 MB /   1.07 sec =  149.9366 Mbps
   16.0625 MB /   0.93 sec =  144.6347 Mbps
   18.0000 MB /   1.02 sec =  148.5143 Mbps
   17.5000 MB /   1.00 sec =  146.6200 Mbps
   18.8125 MB /   0.98 sec =  160.4095 Mbps
   17.9375 MB /   1.00 sec =  150.5743 Mbps
    2.9375 MB /   1.16 sec =   21.2097 Mbps
   78.8750 MB /   5.22 sec =  126.7643 Mbps
  104.1875 MB /   4.07 sec =  214.9461 Mbps
   18.3750 MB /   1.00 sec =  154.2625 Mbps
   10.1875 MB /   0.55 sec =  155.0371 Mbps
   22.5625 MB /   1.45 sec =  130.9235 Mbps
    9.8125 MB /   3.74 sec =   22.0035 Mbps
   91.4375 MB /   1.75 sec =  438.6399 Mbps
    1.2500 MB /   0.09 sec =  121.6869 Mbps
  145.6250 MB /   8.13 sec =  150.2711 Mbps

 5420.7500 MB / 303.30 sec =  149.9282 Mbps 87 %TX 2 %RX 24.53 msRTT
