nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 3
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 10
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 18
    5.9375 MB /   0.96 sec =   51.7828 Mbps
   15.5625 MB /   2.56 sec =   51.0421 Mbps
    5.0000 MB /   2.45 sec =   17.1386 Mbps
   45.3750 MB /   7.51 sec =   50.6668 Mbps
   25.6250 MB /   3.50 sec =   61.4967 Mbps
   12.0000 MB /   1.29 sec =   78.0061 Mbps
    8.8750 MB /   1.55 sec =   48.0851 Mbps
    1.0625 MB /   0.19 sec =   46.3492 Mbps
    7.1875 MB /   1.38 sec =   43.7631 Mbps
    4.9375 MB /   0.57 sec =   72.9640 Mbps
    5.8125 MB /   1.04 sec =   46.7555 Mbps
   11.9375 MB /   1.95 sec =   51.2407 Mbps
    7.5625 MB /   1.29 sec =   49.3547 Mbps
    4.8125 MB /   0.80 sec =   50.3393 Mbps
   21.6250 MB /   3.87 sec =   46.8925 Mbps
    0.3125 MB /   0.05 sec =   50.8504 Mbps
    0.0000 MB /  10.03 sec =    0.0000 Mbps
